indicator,year,raw_value,value,municipality_code,municipality_name,district_code,district_name,section_code,section_name
Renta bruta media por hogar,2021,36.277,36277.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Renta bruta media por hogar,2020,34.817,34817.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Renta bruta media por hogar,2019,35.374,35374.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Renta bruta media por hogar,2018,33.902,33902.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Renta bruta media por hogar,2017,32.001,32001.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Renta bruta media por hogar,2016,30.738,30738.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Renta neta media por persona,2022,13.253,13253.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Renta neta media por persona,2021,12.655,12655.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Renta neta media por persona,2020,12.401,12401.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Renta neta media por persona,2019,12.567,12567.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Renta neta media por persona,2018,11.967,11967.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Renta neta media por persona,2017,11.802,11802.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Renta neta media por persona,2016,11.947,11947.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Mediana de la renta por unidad de consumo,2022,17.150,17150.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Mediana de la renta por unidad de consumo,2021,15.050,15050.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Mediana de la renta por unidad de consumo,2020,15.050,15050.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Mediana de la renta por unidad de consumo,2019,15.750,15750.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Mediana de la renta por unidad de consumo,2018,15.050,15050.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Mediana de la renta por unidad de consumo,2017,14.350,14350.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Mediana de la renta por unidad de consumo,2016,14.350,14350.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Renta bruta media por persona,2022,15.659,15659.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Renta bruta media por persona,2021,15.267,15267.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Renta bruta media por persona,2020,14.530,14530.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Renta bruta media por persona,2019,14.705,14705.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Renta bruta media por persona,2018,13.955,13955.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Renta bruta media por persona,2017,13.776,13776.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Renta bruta media por persona,2016,14.000,14000.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Renta bruta media por hogar,2022,37.691,37691.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Renta bruta media por hogar,2021,36.395,36395.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Renta bruta media por hogar,2020,34.562,34562.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Renta bruta media por hogar,2019,35.637,35637.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Renta bruta media por hogar,2018,33.333,33333.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Renta bruta media por hogar,2017,31.855,31855.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Renta bruta media por hogar,2016,31.542,31542.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Renta neta media por persona,2022,13.436,13436.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Renta neta media por persona,2021,12.216,12216.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Renta neta media por persona,2020,12.196,12196.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Renta neta media por persona,2019,11.834,11834.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Renta neta media por persona,2018,11.328,11328.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Renta neta media por persona,2017,11.292,11292.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Renta neta media por persona,2016,11.112,11112.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Mediana de la renta por unidad de consumo,2022,17.850,17850.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Mediana de la renta por unidad de consumo,2021,16.450,16450.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Mediana de la renta por unidad de consumo,2020,15.750,15750.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Mediana de la renta por unidad de consumo,2019,15.750,15750.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Mediana de la renta por unidad de consumo,2018,15.050,15050.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Mediana de la renta por unidad de consumo,2017,14.350,14350.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Mediana de la renta por unidad de consumo,2016,14.350,14350.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Renta bruta media por persona,2022,15.867,15867.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Renta bruta media por persona,2021,14.474,14474.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Renta bruta media por persona,2020,14.149,14149.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Renta bruta media por persona,2019,13.721,13721.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Renta bruta media por persona,2018,13.085,13085.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Renta bruta media por persona,2017,13.048,13048.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Renta bruta media por persona,2016,12.759,12759.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Renta bruta media por hogar,2022,38.780,38780.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Renta bruta media por hogar,2021,35.341,35341.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Renta bruta media por hogar,2020,34.489,34489.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Renta bruta media por hogar,2019,34.101,34101.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Renta bruta media por hogar,2018,31.565,31565.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Renta bruta media por hogar,2017,30.522,30522.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Renta bruta media por hogar,2016,29.669,29669.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Renta neta media por persona,2022,12.906,12906.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Renta neta media por persona,2021,12.358,12358.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Renta neta media por persona,2020,11.946,11946.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Renta neta media por persona,2019,11.878,11878.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Renta neta media por persona,2018,11.571,11571.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Renta neta media por persona,2017,11.525,11525.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Renta neta media por persona,2016,11.184,11184.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Mediana de la renta por unidad de consumo,2022,17.150,17150.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Mediana de la renta por unidad de consumo,2021,16.450,16450.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Mediana de la renta por unidad de consumo,2020,16.450,16450.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Mediana de la renta por unidad de consumo,2019,16.450,16450.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Mediana de la renta por unidad de consumo,2018,15.050,15050.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Mediana de la renta por unidad de consumo,2017,15.050,15050.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Mediana de la renta por unidad de consumo,2016,14.350,14350.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
