indicator,year,raw_value,value,municipality_code,municipality_name,district_code,district_name,section_code,section_name
Fuente de ingreso: prestaciones por desempleo,2021,585,585.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: prestaciones por desempleo,2020,599,599.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: prestaciones por desempleo,2019,248,248.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: prestaciones por desempleo,2018,277,277.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: prestaciones por desempleo,2017,237,237.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: prestaciones por desempleo,2016,323,323.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otras prestaciones,2022,957,957.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otras prestaciones,2021,917,917.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otras prestaciones,2020,771,771.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otras prestaciones,2019,677,677.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otras prestaciones,2018,664,664.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otras prestaciones,2017,650,650.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otras prestaciones,2016,643,643.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otros ingresos,2022,1.095,1095.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otros ingresos,2021,1.021,1021.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otros ingresos,2020,824,824.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otros ingresos,2019,1.091,1091.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otros ingresos,2018,1.139,1139.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otros ingresos,2017,980,980.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: otros ingresos,2016,950,950.0,28079,Madrid,2807912,Madrid distrito 12,2807912001,Madrid sección 12001
Fuente de ingreso: salario,2022,8.833,8833.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: salario,2021,8.742,8742.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: salario,2020,8.167,8167.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: salario,2019,8.712,8712.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: salario,2018,8.087,8087.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: salario,2017,7.791,7791.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: salario,2016,8.277,8277.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: pensiones,2022,4.994,4994.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: pensiones,2021,4.411,4411.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: pensiones,2020,4.164,4164.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: pensiones,2019,4.103,4103.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: pensiones,2018,4.098,4098.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: pensiones,2017,4.285,4285.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: pensiones,2016,4.300,4300.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: prestaciones por desempleo,2022,388,388.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: prestaciones por desempleo,2021,462,462.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: prestaciones por desempleo,2020,740,740.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: prestaciones por desempleo,2019,316,316.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: prestaciones por desempleo,2018,277,277.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: prestaciones por desempleo,2017,302,302.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: prestaciones por desempleo,2016,231,231.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: otras prestaciones,2022,606,606.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: otras prestaciones,2021,632,632.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: otras prestaciones,2020,558,558.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: otras prestaciones,2019,629,629.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: otras prestaciones,2018,588,588.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: otras prestaciones,2017,559,559.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
