date,year,month,metric,series_id,series_label,methodology,source,territory_level,territory_code,territory_name,price_eur_m2
2012-06-01,2012,6,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,9.0
2012-07-01,2012,7,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,9.0
2012-08-01,2012,8,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.7
2012-09-01,2012,9,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.6
2012-10-01,2012,10,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.8
2012-11-01,2012,11,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.8
2012-12-01,2012,12,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.7
2013-01-01,2013,1,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.7
2013-02-01,2013,2,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.7
2013-03-01,2013,3,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.7
2013-04-01,2013,4,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.6
2013-05-01,2013,5,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.5
2013-06-01,2013,6,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.4
2013-07-01,2013,7,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.3
2013-08-01,2013,8,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.3
2013-09-01,2013,9,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.4
2013-10-01,2013,10,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.4
2013-11-01,2013,11,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.3
2013-12-01,2013,12,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.3
2014-01-01,2014,1,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.3
2014-02-01,2014,2,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.3
2014-03-01,2014,3,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.3
2014-04-01,2014,4,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.2
2014-05-01,2014,5,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.3
2014-06-01,2014,6,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.2
2014-07-01,2014,7,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.2
2014-08-01,2014,8,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.2
2014-09-01,2014,9,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.3
2014-10-01,2014,10,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.3
2014-11-01,2014,11,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.4
2014-12-01,2014,12,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.4
2015-01-01,2015,1,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.3
2015-02-01,2015,2,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.2
2015-03-01,2015,3,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.3
2015-04-01,2015,4,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.5
2015-05-01,2015,5,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.5
2015-06-01,2015,6,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.5
2015-07-01,2015,7,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.5
2015-08-01,2015,8,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.6
2015-09-01,2015,9,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.7
2015-10-01,2015,10,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.7
2015-11-01,2015,11,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.9
2015-12-01,2015,12,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,9.0
2016-01-01,2016,1,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,9.1
2016-02-01,2016,2,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,9.1
2016-03-01,2016,3,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,9.0
2016-04-01,2016,4,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,9.1
2016-05-01,2016,5,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,9.1
2016-06-01,2016,6,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,9.1
2016-07-01,2016,7,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.9
2016-08-01,2016,8,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,8.9
2016-09-01,2016,9,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,9.0
2016-10-01,2016,10,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,9.1
2016-11-01,2016,11,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,9.0
2016-12-01,2016,12,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,9.2
2017-01-01,2017,1,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,9.2
2017-02-01,2017,2,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,9.4
2017-03-01,2017,3,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,9.8
2017-04-01,2017,4,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,9.7
2017-05-01,2017,5,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,9.8
2017-06-01,2017,6,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,9.7
2017-07-01,2017,7,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,9.8
2017-08-01,2017,8,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,9.7
2017-09-01,2017,9,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,9.6
2017-10-01,2017,10,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,9.9
2017-11-01,2017,11,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,10.0
2017-12-01,2017,12,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,10.2
2018-01-01,2018,1,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,10.3
2018-02-01,2018,2,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,10.5
2018-03-01,2018,3,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,10.6
2018-04-01,2018,4,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,10.7
2018-05-01,2018,5,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,10.7
2018-06-01,2018,6,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,10.7
2018-07-01,2018,7,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,10.8
2018-08-01,2018,8,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,10.7
2018-09-01,2018,9,rent_price,0504030000213,Precio alquiler vivienda (€/m2) - distritos,Idealista (alquiler distritos),Banco de Datos del Ayuntamiento de Madrid,district,12,12. Usera,10.7
